nome,ruolo,squadra,punteggio,titolarita
Elphege,A,Parma,1.06,0.18
Lang,A,Napoli,41,0.05
Lucca,A,Napoli,19.03,0.04
N'Dri,A,Lecce,11.66,0.40
Varela G,A,Monza,40,0.15
Kuhn,A,Como,20.58,0.11
Petagna,A,Monza,32,0.10
Buksa,A,Udinese,16.96,0.30
Vaz,A,Roma,18.48,0.08
Bayo V,A,Udinese,7.42,0.20
Trepy,A,Cagliari,0.53,0.06
Albarracin,A,Cagliari,15,0.03
Azon,A,Como,15,0.05
Lauberbach,A,Venezia,15,0.04
Lisman,A,Venezia,15,0.06
Moro L,A,Sassuolo,15,0.05
